True,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
SP.POP.7074.FE.5Y,0.0,0.026824612412729154,0.06265069814132418,0.1008695017156036,0.1327675175745251,0.15483973202711043,0.16254690535841654,0.16372064083329052,0.16473012088844574,0.1737682189219809,0.1946152196272377,0.2141416665445257,0.24149521474778313,0.2753826848828771,0.31450857989352454,0.35836582343122947,0.3956584974384114,0.4382971914331031,0.4848149767330905,0.533432634672528,0.58343110901939,0.6277651250831746,0.6735937448943217,0.7198469207013576,0.7656404827591274,0.8109783866776994,0.8420506208881051,0.8758638203528999,0.9130181858148869,0.9540869624860961,0.9999999999999998
SP.POP.0014.TO.ZS,1.0,0.9633986499271918,0.9217029647984605,0.8787810714363231,0.8400839740622197,0.807763867076992,0.7777484316448393,0.7534219705149119,0.7324054630495844,0.7110879935387988,0.6879131941267498,0.6650393128837746,0.6429231967260156,0.6201941085471581,0.5954236693996133,0.5678791193636101,0.5436776989408476,0.5134631534162697,0.47999193623685743,0.447008754043297,0.41592526368240623,0.3795887899991448,0.34714858752294164,0.3155963786560707,0.28033989796590975,0.2393134276348401,0.19801798007787763,0.15022658548450218,0.09860508051079586,0.04772660766355319,0.0
SP.POP.1564.FE.IN,0.0,0.030125995115576565,0.062278564992812147,0.0955752198443589,0.12861960343377832,0.1606820858118887,0.1921264313702007,0.22267003326014723,0.25287889311617273,0.2836775240488316,0.3154789365315185,0.34798056263714217,0.380846609748702,0.4141892276100063,0.4481288393066205,0.4826634749952692,0.5156754218320883,0.5501902277650987,0.5854597463183302,0.6204408798160534,0.6546713717029913,0.6899307783940762,0.7236783960327882,0.7566799683616907,0.7902533205319786,0.8249753539775535,0.859371181376734,0.8953979076850023,0.9319517640537485,0.9671625812773752,1.0
SP.POP.0014.FE.ZS,1.0,0.9644170588053216,0.9238397038710957,0.8817002842311212,0.843013173655712,0.8098717838116585,0.7795051243012825,0.7537722925120427,0.7306241071753172,0.7070448601137316,0.6818779524694478,0.6564957207773618,0.6318932590503064,0.6068815130665568,0.5800670543650819,0.5507625168149484,0.5258140265812421,0.4951462675733902,0.461414447033746,0.4282129412307505,0.39693667695586976,0.3618680177389453,0.3307583619481269,0.30063555616174664,0.266971752162497,0.22772497983352258,0.18856732571427015,0.14313470355768843,0.09398870948086291,0.04551063390782373,0.0
SP.POP.0509.MA.5Y,1.0,0.9383572747845297,0.9148301077693879,0.9226980397564324,0.9417123907313583,0.9456779381048928,0.9378242529564758,0.9162999556497193,0.8807197778105298,0.8373550957309353,0.7957815594028008,0.766454820061623,0.7324510913932882,0.6945390669317706,0.6560332002623568,0.6208833294112917,0.5939896385429311,0.5811151345049779,0.5774870046680851,0.5725087304238827,0.5533864547394822,0.5196588386406158,0.46908358729808164,0.40340612201702575,0.3311062688798767,0.2633957045615669,0.20170952645616191,0.14798725229176934,0.1007783853014157,0.054047906186568184,0.0
SP.POP.5559.MA.5Y,0.0,0.01594912675871618,0.03717010526193998,0.061178143828785725,0.08479263227323641,0.10643132902396024,0.1238807591172908,0.1401840800211327,0.15516528205308244,0.16894466427292132,0.18170853816265975,0.18986926392801373,0.1975230699593824,0.20506861195944315,0.21319442999273508,0.22294380011085058,0.23040514265418932,0.24073324176961886,0.2563708183034239,0.28117072344869065,0.31754709071692777,0.3634435227373767,0.418407442059342,0.48097764298716017,0.5499740232396999,0.6243886003306494,0.6982522939165197,0.7805926501451004,0.8643717158506696,0.9392417500577603,1.0
SP.POP.65UP.FE.IN,0.0,0.016759392391583194,0.03398865781166116,0.0517971100604841,0.07030287856735445,0.08970078873433135,0.11132023742252167,0.13362025267355987,0.1568873424316502,0.18151380218962593,0.20776498238196534,0.23539580852101077,0.2639734332202876,0.29378965380143146,0.3251882797974874,0.35839675443800806,0.3925202913741715,0.42863792360199554,0.46634589531087883,0.5048860624023119,0.5439789694353325,0.5846516371945494,0.6254115796813855,0.6668141815261441,0.7096951643629958,0.7546769116030427,0.7984764829871582,0.8445081716473501,0.8932224562281978,0.9448723452835062,1.0
SP.POP.2024.FE.5Y,0.8359177148042525,0.8787951413223336,0.9272004370347853,0.9732141788445361,1.0,0.9986078826425686,0.9822714814202875,0.9404037951995061,0.8752827399172451,0.7934148762677777,0.7021724085021157,0.6073297729720499,0.5022855256181638,0.4026298518509748,0.32588714367380067,0.2789504714431912,0.24397766355485295,0.23571205732154965,0.24227321024882187,0.24631747113369862,0.23838871513988646,0.2236965663514825,0.19801136541141506,0.16497691646272905,0.13127565626843385,0.10119510475491111,0.07196582833679166,0.04336908484395785,0.019039652584994293,0.0037966677174186003,0.0
SP.POP.1014.FE.5Y,1.0,0.909585404259273,0.8220900673244609,0.7382642571904001,0.665641036285868,0.6135099654576148,0.5840906588580079,0.5724820950259866,0.5708129972082694,0.5675505559147909,0.5542577948739287,0.5339779314550457,0.5068792104774258,0.4757919477736161,0.44395119402464234,0.41234606350982217,0.3758094990905385,0.3414292332834643,0.30899755481030944,0.280891730906486,0.26068621395771885,0.2505253925759763,0.24572819960893622,0.24322414390498492,0.23608347616688352,0.21741139267555187,0.18535920560906627,0.1441829971531008,0.09610722739041488,0.04642026673974975,0.0
SP.POP.1564.TO,0.0,0.03057599401086475,0.06310458027921872,0.09661499534916063,0.12963744904001007,0.16145018211658213,0.19268588796412178,0.22272578973643697,0.2521952491786865,0.2821527378855848,0.31310855158426554,0.34438804361565545,0.37596792923392375,0.4080433794135965,0.4407860088411433,0.47424184392377433,0.5063690228973909,0.5401458208904766,0.5748309276276158,0.6093769368597799,0.6433495846829549,0.6790366822319196,0.7134271656544704,0.7472672329860806,0.7818515975575864,0.8177240905609615,0.8533712035172323,0.8908190487414223,0.9289063080209365,0.9656597518891532,1.0000000000000002
